Latitude,Longitude,Location
41.900935675,-87.71576283,"(41.900935675, -87.71576283)"
41.803361324,-87.648576736,"(41.803361324, -87.648576736)"
41.882891377,-87.696998811,"(41.882891377, -87.696998811)"
41.914387746,-87.694661637,"(41.914387746, -87.694661637)"
41.876028038,-87.692069498,"(41.876028038, -87.692069498)"
41.78322823,-87.605991312,"(41.78322823, -87.605991312)"
41.88171846,-87.627760426,"(41.88171846, -87.627760426)"
41.890965782,-87.707639334,"(41.890965782, -87.707639334)"
41.884046033,-87.724202916,"(41.884046033, -87.724202916)"
41.810492499,-87.609006268,"(41.810492499, -87.609006268)"
41.901508919,-87.642492979,"(41.901508919, -87.642492979)"
41.935285454,-87.715299242,"(41.935285454, -87.715299242)"
41.823373456,-87.618539513,"(41.823373456, -87.618539513)"
41.78322823,-87.605991312,"(41.78322823, -87.605991312)"
41.811762307,-87.628286589,"(41.811762307, -87.628286589)"
41.662175725,-87.637792759,"(41.662175725, -87.637792759)"
41.884793722,-87.626253976,"(41.884793722, -87.626253976)"
41.773055867,-87.66530808,"(41.773055867, -87.66530808)"
41.790320325,-87.617487726,"(41.790320325, -87.617487726)"
41.804734424,-87.633256465,"(41.804734424, -87.633256465)"
41.78322823,-87.605991312,"(41.78322823, -87.605991312)"
41.889656251,-87.627996272,"(41.889656251, -87.627996272)"
41.867673675,-87.700821129,"(41.867673675, -87.700821129)"
41.722503771,-87.628684443,"(41.722503771, -87.628684443)"
41.722580629,-87.628687267,"(41.722580629, -87.628687267)"
41.78322823,-87.605991312,"(41.78322823, -87.605991312)"
41.817787675,-87.62144107,"(41.817787675, -87.62144107)"
41.883734918,-87.739199887,"(41.883734918, -87.739199887)"
41.895948619,-87.715109335,"(41.895948619, -87.715109335)"
41.906507389,-87.639055705,"(41.906507389, -87.639055705)"
41.855816877,-87.677056379,"(41.855816877, -87.677056379)"
41.903726336,-87.64250581,"(41.903726336, -87.64250581)"
41.71277213,-87.605306501,"(41.71277213, -87.605306501)"
41.78322823,-87.605991312,"(41.78322823, -87.605991312)"
42.007995775,-87.660611211,"(42.007995775, -87.660611211)"
42.006590947,-87.67150219,"(42.006590947, -87.67150219)"
41.722067458,-87.55106874,"(41.722067458, -87.55106874)"
41.739011256,-87.657072521,"(41.739011256, -87.657072521)"
41.896375946,-87.6242787,"(41.896375946, -87.6242787)"
41.919096283,-87.649762191,"(41.919096283, -87.649762191)"
41.78322823,-87.605991312,"(41.78322823, -87.605991312)"
41.877514327,-87.689421855,"(41.877514327, -87.689421855)"
