MarketName,lati,lngt
3.6 West Lafayette Farmers Market,40.461469,-86.915836
4.5 Sagamore West Farmers Market,40.4445,-86.9136
5.6 Purdue Farmers Market,40.42583,-86.914239
6.7 Historic Lafayette Farmers Market,40.417715,-86.891895
20.3 Monticello Farmer's Market,40.7452318,-86.7625086
20.7 Remington Farmers Market,40.76,-87.1514
28.2 Frankfort Farmers Market,40.280691,-86.511368
31.6 Crawfordsville Farmers Market,40.040589,-86.901777
31.9 Rensselaer Farmers Market,40.9356403,-87.1501069
36.2 Logansport Farmers Market,40.752621,-86.365328
40.6 Lebanon City Market,40.0475885,-86.4680447
43.8 Kokomo Downtown Farmers' Market,40.488463,-86.133519
48.1 Rockville Produce Auction LLC,39.8155,-87.1625
