4/7/2017,MIDWEST U.S.,ONIONS AND POTATOES,RED ONIONS,RED,,,per pound,119,0.7,0.38,1,
4/7/2017,MIDWEST U.S.,ONIONS AND POTATOES,WHITE ONIONS,WHITE,,,per pound,69,0.78,0.49,1,
4/7/2017,MIDWEST U.S.,ONIONS AND POTATOES,YELLOW ONIONS,YELLOW,,,per pound,30,0.78,0.25,0.99,
4/7/2017,MIDWEST U.S.,ONIONS AND POTATOES,YELLOW SWEET ONIONS,YELLOW MARKED SWEET,,,per pound,"1,724",0.89,0.67,1.29,
4/7/2017,MIDWEST U.S.,ONIONS AND POTATOES,RED POTATOES,ROUND RED,,,per pound,77,1.08,0.49,1.79,
4/7/2017,MIDWEST U.S.,ONIONS AND POTATOES,WHITE POTATOES,ROUND WHITE,,,per pound,14,0.99,0.99,0.99,
4/7/2017,MIDWEST U.S.,ONIONS AND POTATOES,RUSSET POTATOES,RUSSET,,,per pound,187,0.54,0.49,0.79,
4/7/2017,MIDWEST U.S.,ONIONS AND POTATOES,YELLOW POTATOES,YELLOW TYPE,,,per pound,22,0.99,0.99,0.99,
4/7/2017,MIDWEST U.S.,VEGETABLES,ASPARAGUS,GREEN,,,per pound,"1,354",1.89,0.98,2.99,
4/7/2017,MIDWEST U.S.,VEGETABLES,GREEN BEANS,ROUND GREEN TYPE,,,per pound,"1,553",1.47,0.48,1.78,1
4/7/2017,MIDWEST U.S.,VEGETABLES,BEETS,,,,per pound,7,0.49,0.49,0.49,
4/7/2017,MIDWEST U.S.,VEGETABLES,BROCCOLI,,,,per pound,6,1.49,1.49,1.49,
4/7/2017,MIDWEST U.S.,VEGETABLES,CROWN CUT BROCCOLI,CROWN CUT,,,per pound,313,1.73,0.88,1.99,
4/7/2017,MIDWEST U.S.,VEGETABLES,BRUSSELS SPROUTS,,,,per pound,93,1.39,0.99,1.99,
4/7/2017,MIDWEST U.S.,VEGETABLES,CABBAGE,ROUND GREEN TYPE,,,per pound,276,0.48,0.19,0.59,
4/7/2017,MIDWEST U.S.,VEGETABLES,CACTUS LEAF,,,,per pound,20,0.49,0.49,0.49,
4/7/2017,MIDWEST U.S.,VEGETABLES,CARROTS,,,,1 lb bag,158,0.72,0.5,0.99,
4/7/2017,MIDWEST U.S.,VEGETABLES,BABY CARROTS,BABY PEELED,,,1 lb bag,545,1.26,0.88,1.5,
4/7/2017,MIDWEST U.S.,VEGETABLES,CAULIFLOWER,,,,each,97,2.76,1.99,2.99,
4/7/2017,MIDWEST U.S.,VEGETABLES,CELERY,,,,per pound,16,1.49,1.49,1.49,
4/7/2017,MIDWEST U.S.,VEGETABLES,CELERY HEARTS,HEARTS,,,each,21,1.9,1.5,2.28,
4/7/2017,MIDWEST U.S.,VEGETABLES,COLLARD GREENS,,,,per pound,34,0.72,0.59,0.79,
4/7/2017,MIDWEST U.S.,VEGETABLES,SWEET CORN,,,,each,992,0.44,0.2,1,
4/7/2017,MIDWEST U.S.,VEGETABLES,CUCUMBERS,,,,per pound,34,0.82,0.79,0.98,
4/7/2017,MIDWEST U.S.,VEGETABLES,CUCUMBERS SEEDLESS LONG,LONG SEEDLESS,,Greenhouse,each,558,1.02,0.49,1.5,
4/7/2017,MIDWEST U.S.,VEGETABLES,EGGPLANT,,,,per pound,272,0.95,0.88,1.29,
4/7/2017,MIDWEST U.S.,VEGETABLES,KALE GREENS,,,,per pound,22,0.79,0.79,0.79,
4/7/2017,MIDWEST U.S.,VEGETABLES,LETTUCE ICEBERG,,,,each,22,1.08,0.97,1.39,
4/7/2017,MIDWEST U.S.,VEGETABLES,"LETTUCE, ROMAINE",,,,3 count package,44,2.5,2.5,2.5,
4/7/2017,MIDWEST U.S.,VEGETABLES,MUSHROOMS,PORTOBELLA,,,6 oz package,58,2.31,1.99,2.5,
4/7/2017,MIDWEST U.S.,VEGETABLES,MUSHROOMS,WHITE,,,per pound,7,1.98,1.98,1.98,
4/7/2017,MIDWEST U.S.,VEGETABLES,MUSTARD,,,,per pound,34,0.72,0.59,0.79,
4/7/2017,MIDWEST U.S.,VEGETABLES,ONIONS GREEN,,,,per bunch,393,0.49,0.25,1,
4/7/2017,MIDWEST U.S.,VEGETABLES,GREEN BELL PEPPERs,GREEN,,,per pound,12,1.99,1.99,1.99,
4/7/2017,MIDWEST U.S.,VEGETABLES,ORANGE BELL PEPPERS,ORANGE,,,per pound,263,2.03,1.99,2.49,
4/7/2017,MIDWEST U.S.,VEGETABLES,RED BELL PEPPERS,RED,,,per pound,306,2.02,1.95,2.49,
4/7/2017,MIDWEST U.S.,VEGETABLES,YELLOW BELL PEPPERS,YELLOW,,,per pound,263,2.03,1.99,2.49,
4/7/2017,MIDWEST U.S.,VEGETABLES,JALAPENO PEPPERS,JALAPENO,,,per pound,47,0.78,0.59,1,
4/7/2017,MIDWEST U.S.,VEGETABLES,MIXED MINI PEPPERS,MIXED MINI SWEET TYPES,,,1 lb package,159,2.43,1.49,2.99,
4/7/2017,MIDWEST U.S.,VEGETABLES,SERRANO PEPPERS,SERRANO,,,per pound,3,0.89,0.89,0.89,
4/7/2017,MIDWEST U.S.,VEGETABLES,RADISHES,,,,1 lb bag,231,1.34,0.99,1.49,
4/7/2017,MIDWEST U.S.,VEGETABLES,SALAD,MIXED TYPES,Y,,1 lb bag,309,5,4.99,5,
4/7/2017,MIDWEST U.S.,VEGETABLES,SPINACH,,,,per bunch,25,0.87,0.79,0.99,
4/7/2017,MIDWEST U.S.,VEGETABLES,GREY SQUASH,GREY,,,per pound,16,0.69,0.69,0.69,
4/7/2017,MIDWEST U.S.,VEGETABLES,YELLOW SQUASH,YELLOW CROOKNECK/STRAIGHTNECK,,,per pound,172,0.95,0.59,1.29,
4/7/2017,MIDWEST U.S.,VEGETABLES,ZUCCHINI,,,,per pound,272,0.87,0.49,1.29,
4/7/2017,MIDWEST U.S.,VEGETABLES,SWEET POTATOES,,,,per pound,837,0.63,0.44,1,
4/7/2017,MIDWEST U.S.,VEGETABLES,SWISS CHARD,,,,per bunch,3,1.99,1.99,1.99,
4/7/2017,MIDWEST U.S.,VEGETABLES,TOMATILLOS,,,,per pound,140,1.42,1,1.49,
4/7/2017,MIDWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,371,1.01,0.49,1.49,
4/7/2017,MIDWEST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,,per pound,28,1.4,0.99,1.69,
4/7/2017,MIDWEST U.S.,VEGETABLES,"TOMATOES, CHERRY",,Y,,1 pint package,37,1.99,1.99,2,
4/7/2017,MIDWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,232,2.01,1.5,3,
4/7/2017,MIDWEST U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,,,per pound,549,1.14,0.49,1.49,
4/7/2017,MIDWEST U.S.,VEGETABLES,TURNIP TOPS GREENS,,,,per pound,34,0.72,0.59,0.79,
